 # T      Dist(r)   f(r)           err_f (Solo para N=128)
  1.50     1       0.975528       0.000019
  1.50     2       0.973392       0.000021
  1.50     3       0.973180       0.000022
  1.50     4       0.973153       0.000022
  1.50     5       0.973151       0.000022
  1.50     6       0.973149       0.000022
  1.50     7       0.973151       0.000022
  1.50     8       0.973151       0.000022
  1.50     9       0.973150       0.000022
  1.50    10       0.973149       0.000022
  1.50    11       0.973149       0.000022
  1.50    12       0.973151       0.000022
  1.50    13       0.973150       0.000022
  1.50    14       0.973152       0.000022
  1.50    15       0.973151       0.000022
  1.50    16       0.973149       0.000022
  1.50    17       0.973148       0.000022
  1.50    18       0.973151       0.000022
  1.50    19       0.973147       0.000022
  1.50    20       0.973149       0.000022
  1.50    21       0.973151       0.000022
  1.50    22       0.973149       0.000022
  1.50    23       0.973149       0.000022
  1.50    24       0.973152       0.000022
  1.50    25       0.973152       0.000022
  1.50    26       0.973151       0.000022
  1.50    27       0.973151       0.000022
  1.50    28       0.973150       0.000022
  1.50    29       0.973149       0.000022
  1.50    30       0.973150       0.000022
  1.50    31       0.973151       0.000022
  1.50    32       0.973151       0.000022
  1.50    33       0.973149       0.000022
  1.50    34       0.973150       0.000022
  1.50    35       0.973152       0.000022
  1.50    36       0.973151       0.000022
  1.50    37       0.973150       0.000022
  1.50    38       0.973151       0.000022
  1.50    39       0.973154       0.000022
  1.50    40       0.973152       0.000022
  1.50    41       0.973152       0.000022
  1.50    42       0.973152       0.000022
  1.50    43       0.973149       0.000022
  1.50    44       0.973150       0.000022
  1.50    45       0.973150       0.000022
  1.50    46       0.973153       0.000022
  1.50    47       0.973150       0.000022
  1.50    48       0.973148       0.000022
  1.50    49       0.973151       0.000022
  1.50    50       0.973149       0.000022
  1.50    51       0.973148       0.000022
  1.50    52       0.973149       0.000022
  1.50    53       0.973150       0.000022
  1.50    54       0.973149       0.000022
  1.50    55       0.973149       0.000022
  1.50    56       0.973153       0.000022
  1.50    57       0.973153       0.000022
  1.50    58       0.973148       0.000022
  1.50    59       0.973150       0.000022
  1.50    60       0.973150       0.000022
  1.50    61       0.973150       0.000022
  1.50    62       0.973149       0.000022
  1.50    63       0.973151       0.000022
  1.50    64       0.973148       0.000022
 
  1.80     1       0.929699       0.000033
  1.80     2       0.918541       0.000043
  1.80     3       0.916353       0.000046
  1.80     4       0.915838       0.000047
  1.80     5       0.915700       0.000047
  1.80     6       0.915669       0.000048
  1.80     7       0.915658       0.000048
  1.80     8       0.915650       0.000048
  1.80     9       0.915644       0.000048
  1.80    10       0.915648       0.000048
  1.80    11       0.915645       0.000048
  1.80    12       0.915636       0.000048
  1.80    13       0.915644       0.000048
  1.80    14       0.915632       0.000048
  1.80    15       0.915632       0.000048
  1.80    16       0.915641       0.000048
  1.80    17       0.915646       0.000048
  1.80    18       0.915656       0.000048
  1.80    19       0.915651       0.000048
  1.80    20       0.915641       0.000048
  1.80    21       0.915637       0.000048
  1.80    22       0.915634       0.000048
  1.80    23       0.915632       0.000048
  1.80    24       0.915641       0.000048
  1.80    25       0.915642       0.000048
  1.80    26       0.915644       0.000048
  1.80    27       0.915644       0.000048
  1.80    28       0.915646       0.000048
  1.80    29       0.915648       0.000048
  1.80    30       0.915644       0.000048
  1.80    31       0.915644       0.000048
  1.80    32       0.915645       0.000048
  1.80    33       0.915644       0.000048
  1.80    34       0.915644       0.000048
  1.80    35       0.915630       0.000048
  1.80    36       0.915642       0.000048
  1.80    37       0.915645       0.000048
  1.80    38       0.915644       0.000048
  1.80    39       0.915652       0.000048
  1.80    40       0.915649       0.000048
  1.80    41       0.915644       0.000048
  1.80    42       0.915642       0.000048
  1.80    43       0.915643       0.000048
  1.80    44       0.915651       0.000048
  1.80    45       0.915646       0.000048
  1.80    46       0.915646       0.000048
  1.80    47       0.915642       0.000048
  1.80    48       0.915654       0.000048
  1.80    49       0.915651       0.000048
  1.80    50       0.915635       0.000048
  1.80    51       0.915642       0.000048
  1.80    52       0.915646       0.000048
  1.80    53       0.915652       0.000048
  1.80    54       0.915642       0.000048
  1.80    55       0.915644       0.000048
  1.80    56       0.915642       0.000048
  1.80    57       0.915646       0.000048
  1.80    58       0.915642       0.000048
  1.80    59       0.915646       0.000048
  1.80    60       0.915647       0.000048
  1.80    61       0.915647       0.000048
  1.80    62       0.915644       0.000048
