 # N      T         m_N            err_M          e_N            err_E          c_N            err_C
   16       6.000000       0.946813       0.000315      -5.417452       0.003130       0.464547       0.008440
   16       6.500000       0.919426       0.000431      -5.153304       0.003853       0.599731       0.010524
   16       7.000000       0.878277       0.000643      -4.798633       0.004907       0.838463       0.014744
   16       7.400000       0.827380       0.001002      -4.429357       0.005804       1.049911       0.020041
   16       7.600000       0.789055       0.001289      -4.190697       0.006385       1.204468       0.021774
   16       7.800000       0.740145       0.001706      -3.940015       0.007060       1.398042       0.024497
   16       7.900000       0.707965       0.001941      -3.790251       0.007391       1.493505       0.024689
   16       7.950000       0.687447       0.002044      -3.700216       0.007539       1.534687       0.025221
   16       8.020000       0.666567       0.002202      -3.613911       0.007715       1.579232       0.025763
   16       8.050000       0.656661       0.002232      -3.572621       0.007713       1.566555       0.024940
   16       8.070000       0.644850       0.002279      -3.525664       0.007729       1.565470       0.025019
   16       8.090000       0.639236       0.002315      -3.505119       0.007771       1.574478       0.024822
   16       8.100000       0.634667       0.002334      -3.478213       0.007818       1.589670       0.025154
   16       8.250000       0.568876       0.002559      -3.236407       0.007866       1.551376       0.023760
   16       8.300000       0.553267       0.002607      -3.168094       0.008031       1.597863       0.024177
   16       8.350000       0.529108       0.002683      -3.086123       0.007835       1.502474       0.023031
   16       8.400000       0.508898       0.002675      -3.010825       0.007819       1.478609       0.022708
   16       8.500000       0.470136       0.002687      -2.882334       0.007529       1.338735       0.021627
   16       8.600000       0.426431       0.002670      -2.725995       0.007367       1.252211       0.020725
   16       8.800000       0.360539       0.002565      -2.500094       0.006835       1.029363       0.018162
   16       9.000000       0.311865       0.002401      -2.320312       0.006393       0.861130       0.016037
   16       9.500000       0.232557       0.001973      -1.993519       0.005291       0.529364       0.009912
   16      10.000000       0.187423       0.001642      -1.754447       0.004804       0.393804       0.007134
   16      10.500000       0.162055       0.001432      -1.589357       0.004441       0.305314       0.005733
   16      11.000000       0.141162       0.001278      -1.448882       0.004166       0.244795       0.004416
 
   32       6.000000       0.947129       0.000158      -5.422123       0.001558       0.460285       0.008031
   32       6.500000       0.919368       0.000217      -5.154078       0.001935       0.604767       0.010771
   32       7.000000       0.878176       0.000329      -4.798740       0.002452       0.837573       0.015115
   32       7.400000       0.827016       0.000507      -4.427283       0.002995       1.118486       0.019396
   32       7.600000       0.788748       0.000705      -4.197289       0.003224       1.228684       0.021696
   32       7.800000       0.731001       0.001105      -3.922423       0.003632       1.479782       0.026206
   32       7.900000       0.689350       0.001434      -3.764966       0.003949       1.705623       0.030243
   32       7.950000       0.658398       0.001703      -3.673259       0.004143       1.853853       0.032322
   32       8.020000       0.615908       0.001967      -3.545844       0.004278       1.942272       0.032176
   32       8.050000       0.600310       0.002007      -3.492145       0.004312       1.958082       0.032079
   32       8.070000       0.577092       0.002140      -3.442929       0.004375       2.006529       0.032156
   32       8.090000       0.573139       0.002115      -3.418242       0.004356       1.978554       0.032340
   32       8.100000       0.559044       0.002212      -3.387444       0.004374       1.990741       0.032027
   32       8.250000       0.433585       0.002445      -3.086224       0.004288       1.844426       0.030378
   32       8.300000       0.398857       0.002442      -3.009627       0.004110       1.673469       0.027672
   32       8.350000       0.362443       0.002394      -2.923873       0.004013       1.577024       0.027557
   32       8.400000       0.336408       0.002338      -2.858858       0.003892       1.465153       0.026109
   32       8.500000       0.285037       0.002149      -2.725485       0.003562       1.198778       0.022883
   32       8.600000       0.243481       0.001950      -2.601824       0.003349       1.034863       0.018854
   32       8.800000       0.192908       0.001647      -2.419184       0.003086       0.839243       0.015255
   32       9.000000       0.159600       0.001397      -2.267385       0.002874       0.696017       0.012513
   32       9.500000       0.115214       0.001042      -1.968080       0.002573       0.500852       0.008881
   32      10.000000       0.094003       0.000847      -1.754393       0.002381       0.387110       0.006622
   32      10.500000       0.078922       0.000728      -1.582729       0.002197       0.298912       0.005286
   32      11.000000       0.071032       0.000653      -1.446596       0.002090       0.246317       0.004177
 
   64       6.000000       0.947029       0.000079      -5.420847       0.000776       0.457251       0.008038
   64       6.500000       0.919301       0.000109      -5.152651       0.000979       0.618834       0.010686
   64       7.000000       0.878245       0.000158      -4.798377       0.001199       0.801207       0.013608
   64       7.400000       0.827331       0.000254      -4.429189       0.001449       1.047498       0.018817
   64       7.600000       0.788156       0.000351      -4.196457       0.001618       1.237696       0.020837
   64       7.800000       0.731693       0.000585      -3.927196       0.001870       1.568688       0.027581
   64       7.900000       0.681994       0.000926      -3.757310       0.002030       1.803684       0.032100
   64       7.950000       0.642214       0.001302      -3.659090       0.002190       2.071342       0.035822
   64       8.020000       0.577680       0.001680      -3.513909       0.002334       2.311682       0.038654
   64       8.050000       0.536677       0.001949      -3.447105       0.002392       2.410300       0.039360
   64       8.070000       0.503980       0.002039      -3.391588       0.002341       2.298559       0.038116
   64       8.090000       0.486084       0.002070      -3.354960       0.002377       2.357677       0.038099
   64       8.100000       0.465076       0.002155      -3.325597       0.002369       2.335761       0.038311
   64       8.250000       0.273143       0.002042      -3.024468       0.002100       1.769142       0.031707
   64       8.300000       0.234349       0.001825      -2.945353       0.001941       1.493017       0.027027
   64       8.350000       0.196767       0.001639      -2.869937       0.001851       1.341698       0.023667
   64       8.400000       0.179200       0.001532      -2.809117       0.001792       1.242317       0.021951
   64       8.500000       0.143322       0.001262      -2.693929       0.001691       1.081114       0.018337
   64       8.600000       0.121983       0.001079      -2.587343       0.001626       0.975586       0.017058
