 # N      T         m_N            err_M          e_N            err_E          c_N            err_C
   16       1.500000       0.986564       0.000089      -0.975659       0.000147       0.196488       0.002381
   16       1.800000       0.956646       0.000200      -0.929351       0.000263       0.436461       0.004866
   16       2.000000       0.911717       0.000388      -0.872895       0.000378       0.732203       0.008030
   16       2.100000       0.869444       0.000620      -0.831985       0.000452       0.947881       0.010259
   16       2.150000       0.837686       0.000783      -0.805640       0.000501       1.113947       0.011712
   16       2.200000       0.792409       0.001032      -0.774131       0.000559       1.321146       0.013462
   16       2.220000       0.774566       0.001105      -0.762168       0.000572       1.360326       0.013482
   16       2.240000       0.751692       0.001194      -0.747689       0.000591       1.427212       0.013582
   16       2.250000       0.739504       0.001256      -0.741223       0.000600       1.457366       0.013934
   16       2.260000       0.728874       0.001278      -0.734085       0.000605       1.468220       0.013717
   16       2.270000       0.714762       0.001350      -0.726909       0.000617       1.512017       0.014177
   16       2.280000       0.696492       0.001408      -0.718061       0.000621       1.519786       0.014072
   16       2.290000       0.683292       0.001445      -0.710168       0.000629       1.546730       0.013960
   16       2.300000       0.669522       0.001479      -0.702590       0.000630       1.536042       0.013924
   16       2.320000       0.640507       0.001538      -0.687430       0.000639       1.554795       0.013781
   16       2.350000       0.594255       0.001625      -0.664555       0.000644       1.536923       0.013522
   16       2.400000       0.518534       0.001683      -0.627410       0.000629       1.407422       0.012994
   16       2.450000       0.448660       0.001678      -0.595514       0.000608       1.262716       0.012208
   16       2.500000       0.389369       0.001600      -0.565842       0.000572       1.072572       0.010947
   16       2.600000       0.302489       0.001395      -0.519335       0.000513       0.795908       0.008522
   16       2.800000       0.214326       0.001076      -0.454692       0.000453       0.536290       0.005542
   16       3.000000       0.170950       0.000879      -0.408276       0.000418       0.398178       0.004113
   16       3.200000       0.147045       0.000764      -0.372984       0.000404       0.326618       0.003326
   16       3.400000       0.130998       0.000694      -0.343904       0.000393       0.273280       0.002720
   16       3.600000       0.118996       0.000627      -0.318309       0.000386       0.235150       0.002353
 
   32       1.500000       0.986455       0.000045      -0.975503       0.000074       0.197071       0.002052
   32       1.800000       0.956978       0.000099      -0.929834       0.000130       0.429070       0.004447
   32       2.000000       0.911515       0.000192      -0.873040       0.000187       0.714436       0.007379
   32       2.100000       0.869081       0.000307      -0.831173       0.000229       0.971039       0.009984
   32       2.150000       0.836201       0.000429      -0.805086       0.000254       1.139477       0.011675
   32       2.200000       0.784504       0.000679      -0.772888       0.000287       1.394556       0.014386
   32       2.220000       0.756856       0.000825      -0.758712       0.000305       1.549556       0.015667
   32       2.240000       0.725075       0.000965      -0.744057       0.000319       1.662840       0.016630
   32       2.250000       0.698879       0.001089      -0.733532       0.000329       1.748410       0.017099
   32       2.260000       0.676377       0.001159      -0.724949       0.000336       1.810030       0.017436
