 # N      T         m_N            err_M          e_N            err_E          c_N            err_C
   16       2.000000       0.994339       0.000051      -0.988980       0.000096       0.106373       0.001501
   16       2.500000       0.978215       0.000113      -0.959616       0.000191       0.268398       0.003094
   16       3.000000       0.936084       0.000256      -0.893421       0.000331       0.561483       0.006208
   16       3.300000       0.879289       0.000497      -0.823529       0.000456       0.881245       0.009476
   16       3.400000       0.846371       0.000661      -0.791001       0.000511       1.039606       0.011289
   16       3.500000       0.800973       0.000903      -0.753567       0.000575       1.245419       0.012741
   16       3.550000       0.772711       0.001042      -0.732147       0.000609       1.357139       0.013745
   16       3.580000       0.752377       0.001120      -0.718245       0.000629       1.420371       0.014075
   16       3.600000       0.735681       0.001184      -0.707558       0.000640       1.457427       0.013811
   16       3.620000       0.723301       0.001235      -0.699715       0.000645       1.461370       0.013978
   16       3.630000       0.714027       0.001279      -0.693822       0.000657       1.509054       0.014152
   16       3.640000       0.704782       0.001299      -0.688483       0.000657       1.502418       0.013961
   16       3.650000       0.698668       0.001320      -0.684239       0.000665       1.528407       0.014006
   16       3.660000       0.685790       0.001374      -0.677832       0.000669       1.538237       0.014271
   16       3.680000       0.667086       0.001414      -0.666027       0.000677       1.559332       0.014063
   16       3.700000       0.650453       0.001474      -0.656638       0.000684       1.572486       0.014033
   16       3.750000       0.606532       0.001550      -0.632148       0.000687       1.544332       0.013653
   16       3.800000       0.554257       0.001630      -0.604886       0.000684       1.493571       0.013198
   16       3.900000       0.463822       0.001649      -0.557954       0.000656       1.305311       0.012405
   16       4.000000       0.388971       0.001572      -0.518813       0.000605       1.055436       0.010640
   16       4.200000       0.287820       0.001330      -0.458431       0.000532       0.739334       0.008061
   16       4.500000       0.209577       0.001049      -0.398009       0.000468       0.497832       0.005262
   16       5.000000       0.153198       0.000801      -0.330708       0.000425       0.332408       0.003378
   16       5.500000       0.125461       0.000659      -0.282592       0.000398       0.241697       0.002377
   16       6.000000       0.109822       0.000583      -0.246764       0.000377       0.182016       0.001873
 
   32       2.000000       0.994412       0.000025      -0.989113       0.000047       0.103348       0.001116
   32       2.500000       0.978142       0.000056      -0.959429       0.000095       0.264608       0.002728
   32       3.000000       0.936335       0.000124      -0.893589       0.000163       0.547129       0.005568
   32       3.300000       0.879302       0.000247      -0.823522       0.000227       0.871553       0.009088
   32       3.400000       0.846499       0.000356      -0.791623       0.000260       1.076490       0.011055
   32       3.500000       0.795498       0.000569      -0.752159       0.000299       1.341757       0.013876
   32       3.550000       0.758666       0.000733      -0.729107       0.000320       1.495637       0.015436
   32       3.580000       0.725908       0.000898      -0.712841       0.000335       1.618365       0.016538
   32       3.600000       0.704981       0.000982      -0.702293       0.000345       1.696182       0.016954
   32       3.620000       0.679772       0.001067      -0.690245       0.000355       1.777379       0.017611
   32       3.630000       0.660762       0.001147      -0.683417       0.000362       1.832777       0.017888
   32       3.640000       0.642367       0.001232      -0.676947       0.000369       1.896246       0.018063
   32       3.650000       0.629490       0.001260      -0.671435       0.000372       1.909984       0.018079
   32       3.660000       0.611160       0.001311      -0.664692       0.000377       1.959290       0.018280
   32       3.680000       0.578999       0.001386      -0.652610       0.000379       1.954682       0.018129
   32       3.700000       0.546527       0.001434      -0.640387       0.000377       1.912461       0.017907
   32       3.750000       0.449987       0.001513      -0.608713       0.000366       1.753994       0.017057
   32       3.800000       0.376055       0.001453      -0.582583       0.000343       1.500168       0.015226
   32       3.900000       0.261348       0.001219      -0.538581       0.000303       1.110229       0.011608
   32       4.000000       0.201835       0.000991      -0.505525       0.000276       0.878627       0.009067
   32       4.200000       0.141499       0.000737      -0.454051       0.000254       0.671669       0.006925
   32       4.500000       0.103037       0.000549      -0.397273       0.000232       0.491740       0.004937
   32       5.000000       0.075544       0.000405      -0.329897       0.000212       0.329832       0.003347
   32       5.500000       0.062666       0.000335      -0.282290       0.000200       0.244385       0.002442
   32       6.000000       0.055300       0.000289      -0.247832       0.000190       0.184186       0.001840
 
   64       2.000000       0.994427       0.000012      -0.989140       0.000024       0.102695       0.001047
   64       2.500000       0.978250       0.000028      -0.959639       0.000047       0.264323       0.002611
   64       3.000000       0.936198       0.000062      -0.893432       0.000082       0.548171       0.005431
   64       3.300000       0.879242       0.000122      -0.823271       0.000113       0.868302       0.008625
   64       3.400000       0.846613       0.000172      -0.791371       0.000129       1.056795       0.010583
   64       3.500000       0.795099       0.000286      -0.751984       0.000148       1.325462       0.013309
   64       3.550000       0.756014       0.000413      -0.728696       0.000161       1.523208       0.015755
   64       3.580000       0.718338       0.000598      -0.711985       0.000174       1.740561       0.017906
